Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
60,18-1206L050/24WRCT-ND,1206L050/24WR,Littelfuse Inc.,PTC RESET FUSE 24V 500MA 1206,,1,0,$1.64000,$1.64
61,535-9869-1-ND,ABLS2-12.000MHZ-D4Y-T,Abracon LLC,CRYSTAL 12.0000MHZ 18PF SMD,,1,0,$0.30000,$0.30
62,535-10218-1-ND,ABLS-12.000MHZ-B4-T,Abracon LLC,CRYSTAL 12.0000MHZ 18PF SMD,,1,0,$0.22000,$0.22
63,631-FC4SDCBMF12.0-T1CT-ND,FC4SDCBMF12.0-T1,Fox Electronics,CRYSTAL 12.0000MHZ 20PF SMD,,1,0,$0.23000,$0.23
64,300-6027-ND,HC-49/U-S12000000ABJB,Citizen Finedevice Co Ltd,CRYSTAL 12.0000MHZ 18PF TH,,1,0,$0.49000,$0.49
65,36-5016CT-ND,5016,Keystone Electronics,PC TEST POINT COMPACT,,1,0,$0.26000,$0.26
66,36-5007-ND,5007,Keystone Electronics,PC TEST POINT COMPACT WHITE,,1,0,$0.32000,$0.32
67,36-5006-ND,5006,Keystone Electronics,PC TEST POINT COMPACT BLACK,,1,0,$0.34000,$0.34
68,36-5009-ND,5009,Keystone Electronics,PC TEST POINT COMPACT YELLOW,,1,0,$0.34000,$0.34
69,36-5005-ND,5005,Keystone Electronics,PC TEST POINT COMPACT RED,,1,0,$0.34000,$0.34
70,36-5008-ND,5008,Keystone Electronics,PC TEST POINT COMPACT ORANGE,,1,0,$0.35000,$0.35
71,36-5018CT-ND,5018,Keystone Electronics,PC TEST POINT COMPACT,,1,0,$0.44000,$0.44
72,36-5095CT-ND,5095,Keystone Electronics,PC TEST POINT COMPACT,,1,0,$0.40000,$0.40
73,36-5091CT-ND,5091,Keystone Electronics,PC TEST POINT COMPACT,,1,0,$0.41000,$0.41
74,S1131EC-40-ND,PRPC040SACN-RC,Sullins Connector Solutions,CONN HEADER VERT 40POS 2.54MM,,5,0,$0.75000,$3.75
75,497-STM32U585CIT6-ND,STM32U585CIT6,STMicroelectronics,IC MCU 32BIT 2MB FLASH 48LQFP,,1,0,$9.06000,$9.06
76,497-STM32L452CET6-ND,STM32L452CET6,STMicroelectronics,IC MCU 32BIT 512KB FLASH 48LQFP,,1,0,$6.46000,$6.46
77,F1989CT-ND,60R050XPR,Littelfuse Inc.,PTC RESET FUSE 60V 500MA RADIAL,,1,0,$0.76000,$0.76
,,,,,,,,Subtotal,$86.44
